priority,company,region,town,type,fleet_signal,booking_platform,website,business_email,business_phone,contact_role_name,pain_signal,source_url
4,Coast to Coast NZ (Tours of Auckland),Auckland,Huapai Auckland,day tour,small group; Kumeu wine / Piha / Muriwai tours; owner-led,FareHarbor,https://toursofauckland.com/,peter@coast2coastnz.com,+64 21 215 3105,"Peter (owner, named on site)",Owner runs bookings and guiding; Kumeu wine and west coast daily departures with city pickups,https://toursofauckland.com/
4,Heke Bus,Auckland,Waiheke Island,shuttle-transfer,"21-seat bus; scenic tours, venue transfers, shuttles, charters, wedding transport",in-house,https://hekebus.co.nz/,info@hekebus.co.nz,+64 204 372 372,unknown,Mixes scheduled scenic tours with ad-hoc venue transfers and taxi work on one small fleet,https://hekebus.co.nz/
4,Kiwi Coaches,Auckland,Mangere Bridge Auckland,charter coach,11-18 seat minibuses; 30-37 seat mid coaches; 45-49 seat touring coaches; Whangarei depot too; 30+ yrs NZ-owned,in-house,https://www.kiwicoaches.co.nz/,info@kiwicoaches.co.nz,+64 9 636 5232,unknown,"Careers page recruiting bus, coach and tour-coach drivers (casual/PT/FT) incl. cruise ship excursions; private cruise excursions from Queens/Princes Wharf",https://www.kiwicoaches.co.nz/careers
4,Mondumo Tours,Auckland,Auckland,multi-day,small-group NZ + Australia tours; custom groups 6+; family-run,in-house,https://mondumo.com/,unknown,unknown,"Colin Mairs (Director / head tour guide, named on site)",Director is also head guide; multi-day itineraries across both countries,https://mondumo.com/
4,Waiheke Wine Tours Ltd,Auckland,Onetangi Waiheke Island,day tour,multiple vehicles incl. vintage London double-decker; daily shared + private tours; bus hire 25-seat+ for groups/cruise/school,Rezdy,https://waiheke-winetours.co.nz/,waihekewinetours@gmail.com,09 372 7342,Sharon Killen (named on site),Daily departures timed to ferries; large-group bus hire for cruise passengers and corporates; custom booking portal alongside Rezdy,https://waiheke-winetours.co.nz/bus-hire/
4,Alpine Luxury Tours,Canterbury,Christchurch,day tour,"Mercedes fleet (private luxury tours; HQ Queenstown, Christchurch-based drivers)",in-house,https://www.alpineluxurytours.co.nz,info@alpineluxurytours.co.nz,+64 27 257 4632,unknown,Seek ad (Aug 2026) 'Driver/Guides' Christchurch Central $35-38/hr - scaling Christchurch operation,https://nz.seek.com/tour-driver-jobs/in-Christchurch-Central-Canterbury
4,Pohatu Penguins,Canterbury,Akaroa,adventure w/ pickups,4WD mini-vans over Banks Peninsula hills; Akaroa pickups and meet-the-shuttle service,FareHarbor,https://www.pohatu.co.nz,tours@pohatu.co.nz,+64 3 304 8542,Francis and Shireen Helps (owners),Evening tours with Akaroa pickups timed to Christchurch shuttle arrivals,https://www.pohatu.co.nz/
4,Port to Port Cruises & Wildlife Tours,Dunedin/Otago Peninsula,Port Chalmers,adventure w/ pickups,MV Sootychaser 12-20 pax; daily and on demand,Rezdy,https://www.porttoport.co.nz/,info@porttoport.co.nz,020 416 24250,Rachel McGregor (owner-skipper),"Open every day bookings essential; combines ferry, bike ferry, wildlife cruise and cruise-ship excursions",https://www.porttoport.co.nz/
4,Milford Sound Select (Southern Discoveries),Fiordland,Queenstown,day tour,"Glass-roof coaches, 12-pax Sprinter product",in-house (book.milfordsoundselect.com),https://milfordsoundselect.com/,reservations@southerndiscoveries.co.nz,0800 264 536,unknown,"Seek ad: Summer Season Coach Drivers - Milford Sound (Southern Discoveries), ~10 days old",https://nz.seek.com/tour-driver-jobs/in-Queenstown-&-Wanaka-Otago
4,Southern Discoveries,Fiordland,Te Anau / Queenstown,charter coach,Coach fleet Queenstown-Te Anau-Milford daily,in-house (book.southerndiscoveries.co.nz),https://www.southerndiscoveries.co.nz/,reservations@southerndiscoveries.co.nz,+64 3 441 1137,unknown,Seek ad: Summer Season Coach Drivers - Milford Sound; agent login portal (trade distribution),https://www.southerndiscoveries.co.nz/contact/
4,Experience Gisborne,Gisborne,Gisborne,adventure w/ pickups,shuttle buses plus hire bikes,FareHarbor,https://www.experiencegisborne.co.nz/,info@experiencegisborne.co.nz,+64 6 927 7021,Anelia and Katrina (owners),"Wine tours, cruise services, Pakihi track shuttles and multi-day cycle tours from one small team",https://www.experiencegisborne.co.nz/
4,Hop n Grape Tours / Bubbly Grape,Marlborough,Blenheim,day tour,unknown,Rezdy,https://hopngrapetours.co.nz/,info@hopngrapetours.co.nz,0800 478 868,Cameron Clarke (owner),Two brands on one Rezdy account; Picton cruise ship excursions plus daily group tours,https://hopngrapetours.co.nz/contact-us/
4,Nelson Tours and Travel,Nelson/Abel Tasman,Nelson,day tour,unknown,FareHarbor,https://www.nelsontoursandtravel.co.nz/,info@nelsontoursandtravel.co.nz,027 237 5007,Helen and CJ Power (owners),Seasonal Nelson and Marlborough wine tours with accommodation pickups,https://www.newzealand.com/us/plan/business/nelson-tours-and-travel-limited-1/
4,Hop On Hop Off Wine Tours,Queenstown Lakes,Queenstown (Frankton),day tour,Buses across 5 NZ locations (count unknown),Rezdy,https://hoponhopoffwinetours.com/,enquiries@hoponhopoffwinetours.com,0800 693 7227,Juliearna Kavanagh (owner),Multi-region hop-on schedule; daily timed pickups,https://hoponhopoffwinetours.com/
4,Limousine Services Queenstown (LSQ),Queenstown Lakes,Queenstown,shuttle-transfer,Claims South Island's largest fleet of late-model luxury vehicles (sedans/SUVs/vans),unknown,https://www.limousineservicesqueenstown.co.nz/,info@lsq.co.nz,+64 3 441 4405,unknown,"Seek ad: Operations Assistant & Driver-Guide ($28-32/hr), ~8 days old; also recruiting driver-guides",https://nz.seek.com/tour-driver-jobs/in-Queenstown-&-Wanaka-Otago
4,Pure Glenorchy,Queenstown Lakes,Glenorchy,day tour,4WD tour vehicles (count unknown),FareHarbor,https://www.pureglenorchy.com/,info@pureglenorchy.com,+64 3 441 1079,Joel and Kate (owners),DOC-permitted LOTR/Glenorchy tours with Queenstown pickups,https://www.pureglenorchy.com/
4,Queenstown Wine Trail,Queenstown Lakes,Queenstown,day tour,Wine Hopper bus + tour vans (count unknown),in-house,https://www.queenstownwinetrail.co.nz/,info@queenstownwinetrail.co.nz,+64 3 441 3990,unknown,Jobs page recruiting wine guides (FT/PT/casual) year-round; family run since 1992,https://www.queenstownwinetrail.co.nz/jobs/
4,Ultimate Hikes,Queenstown Lakes,Queenstown,multi-day,Coaches to Milford/Routeburn track heads; 8 lodges,unknown,https://www.ultimatehikes.co.nz/,info@ultimatehikes.co.nz,+64 3 450 1940,unknown,2026/27 season jobs open (mid-Oct to mid-Apr); Queenstown-based ops team,https://www.ultimatehikes.co.nz/plan-your-walk/employment/
4,River Rats Kayak & Raft,Rotorua,Rotorua (airport base),adventure w/ pickups,free shuttles from Rotorua base + central accommodation,FareHarbor,https://www.riverrats.co.nz,info@riverrats.co.nz,+64 7 345 6543,Justin & Jo (owners),Free accommodation shuttles for hot-pool kayak tours (day + evening) and sledging; 40+ yrs operating,https://www.riverrats.co.nz/
4,Catlins Tours,Southland,Owaka / Catlins,day tour,unknown,FareHarbor,https://www.catlinstours.co.nz/,info@catlinstours.co.nz,+64 21 121 7028,Lyndon and Gill McKenzie (owners),Qualmark Silver wildlife/scenic tours,https://www.catlinstours.co.nz/contact
4,Ducks and Drakes Mountain Shuttle,Taranaki,New Plymouth,shuttle-transfer,licensed shuttle service plus motel/backpackers,FareHarbor,https://www.ducksanddrakes.co.nz/,shuttle@ducksanddrakes.co.nz,+64 6 758 0404,Brett and Paula (owners),"Daily mountain departures, park-and-ride and central accommodation pickups run alongside accommodation business",https://www.ducksanddrakes.co.nz/
4,FourB Great Lake Trails Shuttles,Taupo/Turangi,Taupo (Wairakei),adventure w/ pickups,purpose-built bike shuttle vans; bike hire fleet,Rezdy,https://fourb.nz,info@fourb.nz,07 374 8154,Jonny (owner),Daily Great Lake Trail shuttle transfers + guided/multi-day packages; NZTA/DOC compliance,https://fourb.nz/
4,Tongariro Expeditions,Taupo/Turangi,Turangi/Taupo,shuttle-transfer,shuttle buses; 4 products incl. Taupo + Turangi return shuttles,Rezdy,https://www.tongariroexpeditions.com,info@tongariroexpeditions.com,+64 27 265 2161,Mandy and Jared (owners),Longest-running TAC shuttle (since 1998); Taupo return runs with morning pickup/afternoon collection coordination,https://www.tongariroexpeditions.com/
4,National Park Shuttles,Tongariro/Ruapehu,National Park Village,shuttle-transfer,"unknown (multiple daily TAC departures, ski-field + Whakapapa track shuttles)",FareHarbor,https://nationalparkshuttles.com,npshuttles@outlook.com,+64 27 394 1498,Thomas & Tracey (owners),Runs 4+ daily TAC departures + Ketetahi park-and-ride one-ways + winter ski shuttles; seasonal timetable juggling,https://nationalparkshuttles.com/
4,Ruapehu Mountain Transport,Tongariro/Ruapehu,National Park Village,shuttle-transfer,new fleet of purpose-built 4WD Euro5 buses; 3 morning + 3 afternoon Whakapapa runs; Ohakune-Turoa winter route,Rezdy,https://www.ruapehumountaintransport.co.nz,info@ruapehumountaintransport.co.nz,+64 27 892 2954,unknown,Fixed ski timetable both sides of the mountain + TAC shuttles; Rezdy for Ohakune-Turoa product,https://www.ruapehumountaintransport.co.nz/
4,Fox Glacier Guiding,West Coast,Fox Glacier,adventure w/ pickups,unknown (heli-hike departures daily; 50+ years operating),in-house (secure.foxguides.co.nz),https://www.foxguides.co.nz,info@foxguides.co.nz,0800 111 600,unknown,Vacancies page hiring guides and front desk (guidinghr@foxguides.co.nz); Seek ad Aug 2026 for sales/trade specialist,https://nz.seek.com/guide-jobs/in-Franz-Josef-Glacier-West-Coast
4,Franz Josef Glacier Guides,West Coast,Franz Josef,adventure w/ pickups,unknown (heli-hike and valley walk departures multiple times daily from Glacier Base),in-house (book.franzjosefglacier.com),https://www.franzjosefglacier.com,walks@franzjosefglacier.com,+64 3 752 0763,unknown,'Join Our Team' careers page; weather-driven reschedules across many daily departures,https://www.franzjosefglacier.com/
3,Auckland & Beyond Tours,Auckland,Auckland,day tour,modern luxury Mercedes-Benz fleet; small groups capped ~20; ~5000 pax/yr; family-owned,FareHarbor,https://aucklandandbeyond.co.nz/,info@aucklandandbeyond.co.nz,+64 220 474 575,unknown,Small-group + private day tours + multi-day + shore excursions all run off one small team; pickup logistics across Auckland hotels and cruise port,https://aucklandandbeyond.co.nz/
3,EcoZip Adventures,Auckland,Waiheke Island,adventure w/ pickups,commentated pick-up/drop-off shuttle from ferry; second site Kaikoura,Rezdy,https://www.ecozipadventures.co.nz/,hellowaiheke@ecozip.co.nz,+64 9 372 5646,unknown,Every session includes a ferry-timed shuttle run; two-site operation on Rezdy,https://www.ecozipadventures.co.nz/
3,Kiwi Connect Tours,Auckland,Waiheke Island / Auckland,day tour,100% electric vans; max 6 guests per vehicle; multiple vehicles across Waiheke and Auckland,FareHarbor,https://www.kiwiconnect.co.nz/,tours@kiwiconnect.co.nz,+64 21 492 016,unknown,Multi-vehicle EV fleet split across island and city; small-group tours require tight pickup coordination,https://www.kiwiconnect.co.nz/
3,Cheeky Kea Tours,Canterbury,Christchurch,multi-day,Mercedes Sprinter small-group vehicles (day tours + multi-day South Island),Rezdy,https://www.cheekykeatours.com,tours@cheekykeatravel.com,0800 259 532,unknown,"Rezdy for bookings; runs Arthur's Pass/TranzAlpine, Kaikoura, Akaroa, Mt Cook daily departures plus Twizel/Mt Cook shuttle",https://www.cheekykeatours.com/
3,Encounter Kaikoura (Dolphin Encounter),Canterbury,Kaikoura,adventure w/ pickups,Own bus from base to dock; courtesy accommodation pickups on some tours; part of Black Cat Group,in-house,https://www.dolphinencounter.co.nz,unknown,unknown,unknown,'Work With Us' careers page live; multiple daily departures with bus transfers to marina,https://www.dolphinencounter.co.nz/
3,Methven Travel,Canterbury,Methven,shuttle-transfer,"2 new 49-seat BCI coaches, 4 Mercedes vans, 1 28-seat coach; ski bus since 2007",FareHarbor,https://www.methventravel.co.nz,info@methventravel.co.nz,+64 3 302 8106,unknown,Multiple daily ski-bus departures with accommodation pickups around Methven plus Chch airport shuttles,https://www.methventravel.co.nz/
3,Snowman Shuttles,Canterbury,Christchurch / Mt Hutt,shuttle-transfer,Multiple winter-equipped buses with snow chains (Chch-Mt Hutt daily in season),Rezdy,https://www.snowmanshuttles.co.nz,info@snowmanshuttles.co.nz,+64 3 337 5750,unknown,Seasonal daily 7am departures from 3 Christchurch pickup points; weather-dependent cancellations,https://www.snowmanshuttles.co.nz/
3,Fantail Tours,Dunedin/Otago Peninsula,Dunedin,day tour,minibus/van,FareHarbor,https://www.fantailtours.co.nz/,info@fantailtours.co.nz,+64 21 159 5572,unknown,Greets cruise passengers at Port Chalmers; scheduled small-group plus private tours,https://www.fantailtours.co.nz/
3,Rosco's Milford Kayaks,Fiordland,Milford Sound,adventure w/ pickups,Te Anau accommodation pickup shuttle (count unknown),FareHarbor,https://www.roscosmilfordkayaks.com/,rosco@roscosmilfordkayaks.com,0800 476 726,unknown,Return Te Anau pickups for all-day kayak tours,https://www.roscosmilfordkayaks.com/contact-us/
3,Expedigo Tours and Transfers,Hamilton-Waikato,Hamilton/Auckland,day tour,'modern well-maintained vehicles to suit group size'; 11-pax small group Waitomo tour from Hamilton,Rezdy,https://expedigo.co.nz,enquiries@expedigo.co.nz,+64 27 222 0173,unknown,Daily small-group Hobbiton/Waitomo/Rotorua tours departing Auckland + Hamilton; airport + intercity transfers,https://expedigo.co.nz/
3,Beachcomber Cruises,Marlborough,Picton,shuttle-transfer,Mail Boat and Lady Ann vessels; three scheduled departures,Rezdy,https://www.beachcombercruises.co.nz/,office@mailboat.co.nz,0800 62 45 26,unknown,"Family-owned; QCT transfers, mail boat cruises and water taxis with seasonal timetable",https://www.beachcombercruises.co.nz/
3,Discovery Wine Tours,Marlborough,Blenheim,day tour,unknown,FareHarbor,https://discoverywinetours.co.nz/,tours@discoverywinetours.co.nz,+64 27 776 2694,unknown,Family-owned since 2005; Picton cruise shore excursions plus Marlborough Sounds tours,https://discoverywinetours.co.nz/
3,Explore Marlborough,Marlborough,Rapaura,adventure w/ pickups,e-bikes plus support van; private driving tours,FareHarbor,https://www.exploremarlborough.co.nz/,info@exploremarlborough.co.nz,+64 21 846607,unknown,Daily guided bike tours with van support plus private driving wine tours with pickups,https://www.exploremarlborough.co.nz/
3,Active Adventures,National,Queenstown,multi-day,guide-driven vans; recruits Hiking Guide Drivers and Guide Cooks each July-August,in-house,https://www.activeadventures.com/,unknown,+64 3 450 0414,unknown,Open job ads for Hiking Guide Drivers and Hiking Guide Cooks via BambooHR,https://www.activeadventures.com/employment-in-active
3,Abel Tasman Aqua Taxi,Nelson/Abel Tasman,Marahau,adventure w/ pickups,purpose-built water taxi fleet; partner road shuttle The Better Bus,in-house,https://aquataxi.co.nz/,unknown,0800 278 282,unknown,Merged with Marahau Water Taxis; coordinates road shuttle partner for Nelson-Motueka-Marahau pickups,https://aquataxi.co.nz/
3,Abel Tasman Sea Shuttles / Abel Tasman Bus Service,Nelson/Abel Tasman,Kaiteriteri,shuttle-transfer,catamaran water taxis plus air-conditioned buses and vans Nelson/Richmond/Motueka-Kaiteriteri,Rezdy,https://www.abeltasmanseashuttles.co.nz/,cruise@abeltasmanseashuttles.co.nz,0800 732 748,unknown,Daily 7:15am Nelson pickups feeding water taxis; bus transfers must be arranged by phone day before,https://abeltasmanbusservice.co.nz/
3,Wine Art and Wilderness,Nelson/Abel Tasman,Nelson,day tour,shared and private tours; guide Noel in reviews,FareHarbor,https://wineartandwilderness.co.nz/,info@wineartandwilderness.co.nz,0800 326 868,unknown,Scheduled plus private wine and wilderness tours with Nelson pickups,https://wineartandwilderness.co.nz/
3,Footprints Waipoua,Northland,Opononi Hokianga,day tour,guided Waipoua forest tours with hotel transfers within Opononi/Omapere/Waimamaku,Rezdy,https://www.footprintswaipoua.co.nz/,admin@footprintswaipoua.co.nz,+64 21 705 515,unknown,Twilight departures with accommodation pickups across three villages; Viator/TripAdvisor distribution,https://www.footprintswaipoua.co.nz/tours
3,Private Discovery Tours,Queenstown Lakes,Queenstown,day tour,Max 6 per group; tour vehicles page,FareHarbor,https://www.privatediscoverytours.co.nz/,info@privatediscoverytours.co.nz,+64 27 472 7972,unknown,Small-group Queenstown/Milford/Glenorchy/Catlins tours,https://www.privatediscoverytours.co.nz/
3,Queenstown Bike Hire (Sherpa Shuttle),Queenstown Lakes,Queenstown,shuttle-transfer,On-demand Sherpa shuttle bus 7 days,FareHarbor,https://queenstownbikehire.co.nz/,unknown,+64 21 98 44 77,"Mike Barnett, Lynley Barnett (founders)","Shuttle seats limited, advance booking; luggage transfer service",https://queenstownbikehire.co.nz/our-team/
3,Queenstown Coaches (NZSki),Queenstown Lakes,Queenstown (Frankton),charter coach,19-seat minibuses; 44/48/49-seat 4WD MAN coaches; 57-seat coaches,in-house (JotForm enquiry),https://www.queenstowncoaches.com/,unknown,unknown,unknown,"Seek ad: NZSki Summer Drivers (contract/temp coach drivers), ~2 days old",https://www.queenstowncoaches.com/fleet/
3,Your Queenstown Transport (Coronet Peak Tandems),Queenstown Lakes,Queenstown,shuttle-transfer,"Groups up to 18, small-group luxury vans",Rezdy,https://yourqueenstowntransport.co.nz/,hello@yourqueenstowntransport.co.nz,0800 467 325,unknown,Private ski/charter transport to all ski fields; family owned,https://yourqueenstowntransport.co.nz/
3,Kaitiaki Adventures,Rotorua,Rotorua (Tikitere),adventure w/ pickups,hotel/i-SITE pickups 30 min pre-trip; two operating bases (Kaituna + Mt Tarawera),FareHarbor,https://kaitiaki.co.nz,bookings@kaitiaki.co.nz,0800 338 736,unknown,Multiple daily rafting/sledging/hike departures with central hotel pickups + cruise ship excursions,https://kaitiaki.co.nz/contact/
3,Rotorua Canopy Tours,Rotorua,Rotorua,adventure w/ pickups,central Rotorua pickup on request; multiple tours daily,unknown,https://www.canopytours.co.nz,unknown,unknown,unknown,"Job ad: Zipline Guide (full-time, P-endorsement preferred) on SEEK; runs pickups from CBD",https://nz.seek.com/outdoor-guide-jobs/in-Rotorua-Central-Bay-of-Plenty
3,Catch a Bus South (Ripple Travel Group),Southland,Invercargill,shuttle-transfer,Coaches to minivans; Invercargill-Dunedin/Queenstown/Te Anau/Bluff,FareHarbor,https://www.catchabussouth.com/,info@rippletravelgroup.com,+64 27 449 7994,unknown,24hr booking line; Catlins day tour + scheduled city-to-city routes,https://www.catchabussouth.com/
3,Active Outdoor Adventures,Taupo/Turangi,Turangi,shuttle-transfer,unknown (return Turangi-TAC + Ketetahi one-way + winter Park n Ride ski shuttles),FareHarbor,https://www.activeoutdooradventures.co.nz,info@activeoutdooradventures.co.nz,027 228 4831,unknown,#1 TripAdvisor transport in TNP; seasonal switch summer TAC / winter Whakapapa; group discounts,https://www.activeoutdooradventures.co.nz/
3,Backyard Tours,Taupo/Turangi,Turangi,shuttle-transfer,"multiple named drivers in reviews (Brendon, Gloria, Brandon, Abbie); Taupo-TAC + Whakapapa ski runs",FareHarbor,https://www.backyardtours.com,enquiries@backyardtours.com,+64 22 314 2656,unknown,Long-haul Taupo/Turangi to TAC transfers (45min each way) + winter ski shuttles + airport transfers; Maori-owned since 2012,https://www.backyardtours.com/
3,Mount Classic Tours,Tauranga/Mt Maunganui,Mount Maunganui,charter coach,25 vehicles from Rolls Royce limos to 36-seat coaches,in-house,https://www.mctours.co.nz,info@mctours.co.nz,+64 7 574 1779,Ian Holroyd (owner/founder),"Cruise-day surge ops across 4 brands (Cruise Tours Tauranga, Shore Trips & Tours, Hinterland Tours, Taste of Plenty); Qualmark Gold",https://www.mctours.co.nz/more-info
3,Dempsey Buses,Tongariro/Ruapehu,Raetihi/Ohakune,charter coach,'major passenger transport supplier in Ruapehu District' since 1988; Snow Express Ohakune-Turoa 3 morning departures; bike trail shuttles,FareHarbor,https://www.dempseybuses.co.nz,info@dempseybuses.co.nz,06 385 4022,unknown,Mixed ops: school/charter + ski shuttle + TAC + Mountains-to-Sea cycle logistics,https://www.dempseybuses.co.nz/
3,Owhango Adventures,Tongariro/Ruapehu,Owhango,shuttle-transfer,"unknown (pickups Whakapapa Village, Mangatepopo, Owhango; private hire; ski shuttle)",FareHarbor,https://www.tongarironationalpark.co.nz,info@owhangoadventures.co.nz,+64 7 895 4854,unknown,Multi-pickup-point TAC shuttles + adventure packages; winter ski shuttle,https://www.tongarironationalpark.co.nz/
3,Summit Shuttles,Tongariro/Ruapehu,National Park Village,shuttle-transfer,"buses (plural in reviews), pickups from Kiwi Camp carpark + Skotel",FareHarbor,https://www.summitshuttles.co.nz,summitshuttles@gmail.com,+64 21 784 202,unknown,Summer TAC + winter ski area transport; guaranteed-hike promise means weather-day rebooking comms,https://www.summitshuttles.co.nz/
3,Martinborough Wine Tours,Wellington/Wairarapa,Martinborough,day tour,"multiple guides (Matthew, Trinity, Karen, Lee, Simon); train-connected daily pickups Featherston",FareHarbor,https://www.martinboroughwinetours.co.nz/,info@martinboroughwinetours.co.nz,06 306 8032,unknown,Daily train-timed pickups at Featherston station weekdays and weekends; separate urgent same/next-day booking phone line suggests manual dispatch,https://www.martinboroughwinetours.co.nz/
3,Whanganui Tours (River Road Mail Run),Whanganui/Manawatu,Whanganui,day tour,unknown,FareHarbor,https://www.whanganuitours.co.nz/,unknown,+64 21 130 4617,Tracy Marshall and Linda (operators),Mail Run tour Monday-Friday 7:30am plus Mountains to Sea cycle shuttles; contract mail delivery adds time pressure,https://www.whanganuitours.co.nz/
2,Cheeky Kiwi Travel,Auckland,Auckland,day tour,modern Mercedes minibuses; small groups; NZ-wide North & South Island tours,Rezdy,https://www.cheekykiwitravel.com/,unknown,+64 9 390 7380,unknown,Daily Hobbiton/Waitomo/Rotorua/Bay of Islands departures with hotel pickups 5:30am start; multi-day 2-day BOI tours; TripAdvisor Best of the Best volume,https://cheekykiwitravel.rezdy.com/234294/hobbiton-movie-set-small-group-tour-from-auckland
2,TIME Unlimited Tours,Auckland,Parnell Auckland,day tour,Mercedes luxury vehicles; private + small group; shore excursions; 20+ yrs family owned,FareHarbor,https://www.newzealandtours.travel/,unknown,+64 9 846 3469,unknown,Cruise-ship shore excursions with dockside pickup and hard return deadlines; multi-day private tours to Hokianga/BOI,https://www.newzealandtours.travel/shore-excursions/
2,Terra & Tide,Auckland,Waiheke Island,day tour,low-emission luxury vehicles for Waiheke/Auckland/Northland tours + 41ft catamaran; ~10 named guides; 2024 NZ Tourism Award micro-business winner,Rezdy,https://terraandtide.co.nz/,unknown,021 669 722,unknown,Guide roster of ~10 across land and sea products in three regions; private and corporate transfers,https://terraandtide.co.nz/touring/waiheke-island-transport-and-transfers/
2,Warkworth Taxi & Bus Services,Auckland,Warkworth / Matakana,charter coach,"people movers, vans, minibuses up to 53-seat; 80+ buses via parent Leabourn Passenger Service; Matakana wine tours and charters",in-house,https://www.warkworthtaxiandbus.co.nz/,info@warkworthtaxiandbus.co.nz,09 425 0000,Micheala and Ian (named on site as booking contacts),Mixed taxi/shuttle/charter/wine-tour dispatch across Matakana Coast; 24-hour reply promise on enquiries,https://www.warkworthtaxiandbus.co.nz/bus-charters/
2,Canterbury Trails,Canterbury,Christchurch,day tour,"4WD vehicles and mini-coaches, max group 8",in-house (Shopify),https://www.canterburytrails.co.nz,info@trails.co.nz,+64 3 384 6148,Irene Hayward and Chris Platt (owner-operators),Shopify cart used for tour bookings - no tour-ops system; hotel pickups on every product,https://www.canterburytrails.co.nz/pages/contact
